particles,inertia,cognition,social,epoch_stop,solution_found,fitness
40,0.5,1,1,368,[1.00000301 1.00000601],9.043182945851136e-12
40,0.5,1,1,329,[1. 1.],1.4279714765836067e-20
40,0.5,1,1,546,[1. 1.],5.28359805832469e-26
40,0.5,1,1,294,[1.00000004 1.00000007],1.5420260851459697e-15
40,0.5,1,1,338,[1. 1.],7.162019393191165e-19
40,0.5,1,1,654,[0.99999999 0.99999999],2.7504147385592152e-17
40,0.5,1,1,521,[1. 1.],6.568499631129331e-29
40,0.5,1,1,230,[1.00000001 1.00000001],5.236302861508509e-17
40,0.5,1,1,227,[0.99999998 0.99999996],3.798443507699578e-16
40,0.5,1,1,338,[1. 1.],3.125508072896165e-21
40,0.5,1,1,491,[0.99999999 0.99999998],8.83971669607859e-17
40,0.5,1,1,191,[0.99999998 0.99999996],8.838498947062305e-16
40,0.5,1,1,182,[1. 1.],8.891152933745182e-18
40,0.5,1,1,248,[1.00000018 1.00000035],3.392323209060509e-14
40,0.5,1,1,195,[1. 1.],3.868178208468679e-18
40,0.5,1,1,213,[1. 1.],1.2599332325040975e-18
40,0.5,1,1,288,[1. 1.],1.9349340980837656e-18
40,0.5,1,1,316,[1.00000002 1.00000004],4.238930405403314e-16
40,0.5,1,1,498,[1. 1.],1.5355685854698748e-23
40,0.5,1,1,196,[0.99999992 0.99999983],7.201129850646057e-15
40,0.5,1,1,472,[1. 1.],8.654060633328213e-25
40,0.5,1,1,254,[1. 1.],1.2424380587873063e-19
40,0.5,1,1,197,[1.00000002 1.00000004],4.2084250749565293e-16
40,0.5,1,1,574,[1. 1.],1.7109604173338525e-26
40,0.5,1,1,680,[1. 1.],1.6051470528500978e-27
40,0.5,1,1,175,[1. 1.],5.050575250123189e-18
40,0.5,1,1,166,[1.         1.00000001],2.297365590506326e-17
40,0.5,1,1,230,[1. 1.],3.1758635347811457e-18
40,0.5,1,1,289,[1.00000006 1.00000012],3.863339901299236e-15
40,0.5,1,1,179,[1. 1.],2.9201886485586226e-22
40,0.5,1,1,216,[1.00000002 1.00000003],4.972887084739017e-16
40,0.5,1,1,260,[1. 1.],1.5061496187075345e-19
40,0.5,1,1,242,[0.99999892 0.99999786],1.1931878773942128e-12
40,0.5,1,1,302,[1. 1.],7.71191266997382e-23
40,0.5,1,1,240,[1.00000649 1.00001316],4.5255449225366286e-11
40,0.5,1,1,315,[1. 1.],3.763002715232551e-22
40,0.5,1,1,381,[1. 1.],1.1194338613451627e-23
40,0.5,1,1,363,[1.00000084 1.00000164],7.728011447399664e-13
40,0.5,1,1,381,[1. 1.],1.0366400801348293e-17
40,0.5,1,1,192,[1.00000001 1.00000003],1.9704589050652825e-16
40,0.5,1,1,175,[0.99999983 0.99999965],3.069866492695696e-14
40,0.5,1,1,630,[1.00000001 1.00000002],1.0491257773169071e-16
40,0.5,1,1,227,[1. 1.],5.0683256939792866e-20
40,0.5,1,1,248,[1. 1.],3.794832030319638e-21
40,0.5,1,1,349,[0.99999998 0.99999995],6.655152686666213e-16
40,0.5,1,1,306,[1. 1.],1.2909905929168163e-26
40,0.5,1,1,736,[1.         1.00000001],2.4531282483664852e-17
40,0.5,1,1,660,[1.00000448 1.00000895],2.003523670479318e-11
40,0.5,1,1,196,[0.99999999 0.99999999],3.7257924835425944e-17
40,0.5,1,1,345,[1. 1.],0.0
40,0.5,1,1,205,[1. 1.],1.0965254519283473e-19
40,0.5,1,1,290,[0.99999999 0.99999998],1.2898378358972988e-16
40,0.5,1,1,464,[1.0000011  1.00000221],1.2138325900928079e-12
40,0.5,1,1,188,[1. 1.],2.550440880588795e-22
40,0.5,1,1,160,[1.00000009 1.00000018],8.327259977674528e-15
40,0.5,1,1,360,[0.99999999 0.99999998],7.762326008745166e-17
40,0.5,1,1,153,[1.00000001 1.00000002],1.1817792410853268e-15
40,0.5,1,1,239,[1. 1.],1.2126348010333475e-18
40,0.5,1,1,363,[0.99999996 0.99999992],1.7004260348159955e-15
40,0.5,1,1,272,[1.00000025 1.00000048],6.62596138932629e-14
40,0.5,1,1,159,[1.00000003 1.00000006],9.621958194808257e-16
40,0.5,1,1,260,[1.000004   1.00000813],1.750321549208736e-11
40,0.5,1,1,180,[1. 1.],1.0669621361257691e-19
40,0.5,1,1,161,[1. 1.],1.6294417792987878e-18
40,0.5,1,1,396,[1. 1.],5.965760595733902e-30
40,0.5,1,1,418,[1. 1.],1.6804709433470604e-27
40,0.5,1,1,217,[1.00000011 1.00000022],1.2734171212997108e-14
40,0.5,1,1,202,[1. 1.],4.30545357351559e-18
40,0.5,1,1,281,[1. 1.],3.9732854712435583e-23
40,0.5,1,1,431,[1. 1.],1.500919422045354e-23
40,0.5,1,1,198,[0.99999508 0.99999008],2.478689246955351e-11
40,0.5,1,1,366,[1.00000014 1.00000028],2.5790390252119083e-14
40,0.5,1,1,230,[1.00000001 1.00000002],1.11517375035874e-16
40,0.5,1,1,280,[1.00000024 1.00000052],1.464661272889156e-13
40,0.5,1,1,202,[1. 1.],9.809542702716214e-19
40,0.5,1,1,316,[1.0000001  1.00000019],9.23971826465872e-15
40,0.5,1,1,273,[1. 1.],2.8199317101703014e-25
40,0.5,1,1,218,[0.99999955 0.99999909],2.0967572455922787e-13
40,0.5,1,1,408,[0.99999969 0.99999937],9.797436256079033e-14
40,0.5,1,1,198,[1. 1.],1.8294870988484187e-19
40,0.5,1,1,236,[1.         0.99999999],2.0815370579731075e-17
40,0.5,1,1,471,[1. 1.],1.5385584607452998e-23
40,0.5,1,1,458,[0.99999948 0.99999899],3.359576268143164e-13
40,0.5,1,1,768,[1. 1.],5.353851052315278e-27
40,0.5,1,1,276,[1.00000002 1.00000003],3.008957600558048e-16
40,0.5,1,1,337,[1.00000021 1.00000042],4.4814930465218876e-14
40,0.5,1,1,526,[1. 1.],2.8493732027107878e-18
40,0.5,1,1,202,[1. 1.],1.5067019309159411e-18
40,0.5,1,1,751,[1.         1.00000001],1.4848145701070896e-16
40,0.5,1,1,575,[1. 1.],9.564938475804768e-30
40,0.5,1,1,229,[1. 1.],1.174640601272092e-18
40,0.5,1,1,182,[1.         1.00000001],2.095853015430629e-17
40,0.5,1,1,189,[0.99999998 0.99999996],5.451778720146901e-16
40,0.5,1,1,267,[1.00000015 1.0000003 ],2.788237893429652e-14
40,0.5,1,1,321,[1. 1.],5.87689654494008e-19
40,0.5,1,1,165,[0.99999999 0.99999999],5.034914636683142e-17
40,0.5,1,1,235,[0.99999996 0.99999992],1.6126135098018667e-15
40,0.5,1,1,434,[1. 1.],1.518501673453283e-19
40,0.5,1,1,236,[0.99999995 0.99999991],2.1841646052218257e-15
40,0.5,1,1,250,[1. 1.],1.7037823711008848e-18
40,0.5,1,1,224,[1. 1.],4.20203202487862e-19
40,0.5,1,1,423,[1. 1.],3.700206453107429e-23
40,0.5,1,1,170,[1.00000015 1.00000029],3.5415376656227135e-14
40,0.5,1,1,200,[0.99999998 0.99999996],4.0173074662163645e-16
