particles,inertia,cognition,social,epoch_stop,solution_found,fitness
40,0.5,1,1,207,[1.00000018 1.00000037],3.543558387204244e-14
40,0.5,1,1,249,[1. 1.],1.8751045469347358e-20
40,0.5,1,1,293,[1. 1.],3.94338431948934e-20
40,0.5,1,1,460,[1. 1.],1.2178636506804775e-18
40,0.5,1,1,311,[1. 1.],8.234697583019406e-21
40,0.5,1,1,320,[1.00000658 1.00001295],4.810473376905771e-11
40,0.5,1,1,725,[1. 1.],2.2788263316493952e-20
40,0.5,1,1,223,[0.99999998 0.99999995],5.878553188885696e-16
40,0.5,1,1,333,[1.00000013 1.00000026],2.5294505170278566e-14
40,0.5,1,1,454,[1. 1.],1.0223637331664313e-27
40,0.5,1,1,241,[1.00000002 1.00000004],4.215162225126945e-16
40,0.5,1,1,219,[1.00000001 1.00000003],3.5630824831027003e-16
40,0.5,1,1,503,[1. 1.],0.0
40,0.5,1,1,189,[0.99999997 0.99999995],6.975989369708259e-16
40,0.5,1,1,306,[1. 1.],5.691640029753467e-23
40,0.5,1,1,258,[1. 1.],7.772116483221934e-25
40,0.5,1,1,230,[1. 1.],4.016261719676243e-19
40,0.5,1,1,219,[1.         1.00000001],2.2509811264934596e-17
40,0.5,1,1,257,[1. 1.],4.446669188119282e-19
40,0.5,1,1,384,[0.99999979 0.9999996 ],7.50122152075365e-14
40,0.5,1,1,644,[1. 1.],2.973956385420798e-22
40,0.5,1,1,177,[1.00000001 1.00000002],7.357616941832789e-17
40,0.5,1,1,298,[1. 1.],2.4491211492616053e-19
40,0.5,1,1,289,[1. 1.],3.697373201455729e-19
40,0.5,1,1,271,[1. 1.],1.438563013600186e-19
40,0.5,1,1,156,[1.00000001 1.00000003],2.0407941962584018e-16
40,0.5,1,1,196,[1. 1.],2.966459515203138e-22
40,0.5,1,1,297,[1. 1.],4.1928862494670732e-19
40,0.5,1,1,237,[0.99999999 0.99999997],1.5985175760731013e-16
40,0.5,1,1,999,[1.00024435 1.00048158],6.487165182871174e-08
40,0.5,1,1,223,[1. 1.],3.071900589848182e-21
40,0.5,1,1,257,[1.         0.99999999],1.5787998634537618e-17
40,0.5,1,1,241,[1. 1.],5.267018017586361e-22
40,0.5,1,1,278,[0.99999593 0.99999177],1.7411367147176164e-11
40,0.5,1,1,240,[0.99999992 0.99999984],7.984528587892695e-15
40,0.5,1,1,318,[1.00000063 1.00000125],3.913082643123536e-13
40,0.5,1,1,273,[1. 1.],5.29140378736854e-19
40,0.5,1,1,287,[1.00000021 1.00000041],5.928060472547306e-14
40,0.5,1,1,269,[0.99999999 0.99999997],1.8496482436919386e-16
40,0.5,1,1,430,[1. 1.],0.0
40,0.5,1,1,617,[1. 1.],4.930380657631324e-32
40,0.5,1,1,186,[1. 1.],5.16462198557594e-18
40,0.5,1,1,236,[1. 1.],3.2805668784551344e-21
40,0.5,1,1,219,[1.00000002 1.00000004],7.827622799089985e-16
40,0.5,1,1,185,[1. 1.],4.4860136050412155e-21
40,0.5,1,1,203,[1.         1.00000001],1.862753416429394e-17
40,0.5,1,1,179,[1. 1.],4.982735042088389e-18
40,0.5,1,1,488,[1. 1.],3.2340487350403534e-19
40,0.5,1,1,369,[1. 1.],4.579835141149893e-24
40,0.5,1,1,311,[1. 1.],4.757324296548464e-28
40,0.5,1,1,292,[1.0000001  1.00000021],1.0830090252623007e-14
40,0.5,1,1,228,[1. 1.],6.49455881481084e-19
40,0.5,1,1,187,[0.99999996 0.99999993],1.4696471193471431e-15
40,0.5,1,1,619,[0.99999999 0.99999999],5.71270712917731e-17
40,0.5,1,1,214,[1. 1.],3.031416493565452e-19
40,0.5,1,1,221,[1.00000017 1.00000033],2.783633707632909e-14
40,0.5,1,1,272,[1. 1.],1.532164370170383e-16
40,0.5,1,1,360,[1.00000011 1.00000022],1.2247016790826178e-14
40,0.5,1,1,201,[0.99999999 0.99999999],3.773239814231021e-17
40,0.5,1,1,792,[0.99999992 0.99999987],1.4103667258683804e-13
40,0.5,1,1,211,[1.00000002 1.00000004],4.84610393328014e-16
40,0.5,1,1,262,[1. 1.],1.078634672975995e-24
40,0.5,1,1,379,[1. 1.],5.429568946417146e-20
40,0.5,1,1,358,[1. 1.],7.50931836208349e-21
40,0.5,1,1,201,[0.99999998 0.99999995],5.607233396642434e-16
40,0.5,1,1,194,[1. 1.],2.6691577228009987e-20
40,0.5,1,1,414,[1. 1.],1.9035434870100053e-15
40,0.5,1,1,378,[1. 1.],1.9076912537188254e-18
40,0.5,1,1,202,[1. 1.],2.216429336108385e-22
40,0.5,1,1,239,[1. 1.],7.401929711476224e-20
40,0.5,1,1,292,[1.00000391 1.0000078 ],1.5397882535132056e-11
